Size,OD,ID,t,A,W,I,S,Z,r,J,Rblt
HSS 5 x 0.312,5.000,4.376,0.312,4.60,5.40,12.7,5.07,6.87,1.66,25.2,7.5
HSS 5 x 0.375,5.000,4.250,0.375,5.45,6.41,14.7,5.87,8.04,1.64,29.1,6.2
HSS 5 x 0.5,5.000,4.000,0.500,7.07,8.31,18.1,7.25,10.2,1.60,35.8,4.5
HSS 5 x 0.625,5.000,3.750,0.625,8.59,10.1,21.0,8.39,12.0,1.56,41.1,3.5
HSS 5 x 0.75,5.000,3.500,0.750,10.0,11.8,23.3,9.33,13.7,1.53,45.2,2.8
HSS 5 x 1,5.000,3.000,1.000,12.6,14.8,26.7,10.7,16.3,1.46,50.3,2.0
HSS 5.5 x 0.125,5.500,5.250,0.125,2.11,2.48,7.63,2.77,3.61,1.90,15.2,21.5
HSS 5.5 x 0.188,5.500,5.124,0.188,3.14,3.69,11.1,4.03,5.31,1.88,22.1,14.1
HSS 5.5 x 0.25,5.500,5.000,0.250,4.12,4.85,14.2,5.18,6.90,1.86,28.4,10.5
HSS 5.5 x 0.375,5.500,4.750,0.375,6.04,7.10,19.9,7.25,9.87,1.82,39.6,6.8
HSS 5.5 x 0.5,5.500,4.500,0.500,7.85,9.24,24.8,9.01,12.5,1.78,49.1,5.0
HSS 5.5 x 0.75,5.500,4.000,0.750,11.2,13.2,32.4,11.8,17.1,1.70,63.1,3.2
HSS 5.5 x 1,5.500,3.500,1.000,14.1,16.6,37.6,13.7,20.6,1.63,71.6,2.3
HSS 6 x 0.125,6.000,5.750,0.125,2.31,2.71,9.96,3.32,4.32,2.08,19.9,23.5
HSS 6 x 0.188,6.000,5.624,0.188,3.43,4.04,14.5,4.84,6.35,2.06,29.0,15.5
HSS 6 x 0.25,6.000,5.500,0.250,4.52,5.31,18.7,6.23,8.27,2.03,37.3,11.5
HSS 6 x 0.312,6.000,5.376,0.312,5.58,6.56,22.6,7.54,10.1,2.01,45.1,9.1
HSS 6 x 0.375,6.000,5.250,0.375,6.63,7.79,26.3,8.78,11.9,1.99,52.4,7.5
HSS 6 x 0.5,6.000,5.000,0.500,8.64,10.2,32.9,11.0,15.2,1.95,65.3,5.5
HSS 6 x 0.625,6.000,4.750,0.625,10.6,12.4,38.6,12.9,18.1,1.91,76.2,4.3
HSS 6 x 0.75,6.000,4.500,0.750,12.4,14.5,43.5,14.5,20.8,1.88,85.2,3.5
HSS 6 x 1,6.000,4.000,1.000,15.7,18.5,51.1,17.0,25.3,1.80,98.2,2.5
HSS 6.5 x 0.25,6.500,6.000,0.250,4.91,5.77,24.0,7.39,9.77,2.21,47.9,12.5
HSS 6.5 x 0.375,6.500,5.750,0.375,7.22,8.49,34.0,10.5,14.1,2.17,67.7,8.2
HSS 6.5 x 0.5,6.500,5.500,0.500,9.42,11.1,42.7,13.1,18.0,2.13,84.8,6.0
HSS 6.5 x 0.75,6.500,5.000,0.750,13.5,15.9,56.9,17.5,24.9,2.05,112,3.8
HSS 6.75 x 0.5,6.750,5.750,0.500,9.82,11.5,48.2,14.3,19.6,2.22,95.9,6.3
HSS 6.75 x 0.75,6.750,5.250,0.750,14.1,16.6,64.6,19.1,27.1,2.14,127,4.0
HSS 7 x 0.25,7.000,6.500,0.250,5.30,6.23,30.2,8.64,11.4,2.39,60.4,13.5
HSS 7 x 0.375,7.000,6.250,0.375,7.80,9.18,43.0,12.3,16.5,2.35,85.6,8.8
HSS 7 x 0.5,7.000,6.000,0.500,10.2,12.0,54.2,15.5,21.2,2.30,108,6.5
HSS 7 x 0.75,7.000,5.500,0.750,14.7,17.3,72.9,20.8,29.4,2.23,144,4.2
HSS 7 x 1,7.000,5.000,1.000,18.8,22.2,87.2,24.9,36.3,2.15,170,3.0
HSS 7.5 x 0.25,7.500,7.000,0.250,5.69,6.70,37.5,9.99,13.1,2.56,74.8,14.5
HSS 7.5 x 0.375,7.500,6.750,0.375,8.39,9.87,53.4,14.2,19.1,2.52,107,9.5
HSS 7.5 x 0.5,7.500,6.500,0.500,11.0,12.9,67.7,18.1,24.5,2.48,135,7.0
HSS 8 x 0.125,8.000,7.750,0.125,3.09,3.64,24.0,5.99,7.75,2.78,47.9,31.5
HSS 8 x 0.25,8.000,7.500,0.250,6.09,7.16,45.7,11.4,15.0,2.74,91.4,15.5
HSS 8 x 0.375,8.000,7.250,0.375,8.98,10.6,65.4,16.4,21.8,2.70,131,10.2
HSS 8 x 0.5,8.000,7.000,0.500,11.8,13.9,83.2,20.8,28.2,2.66,166,7.5
HSS 8 x 0.625,8.000,6.750,0.625,14.5,17.0,99.2,24.8,34.1,2.62,197,5.9
HSS 8 x 0.75,8.000,6.500,0.750,17.1,20.1,113,28.4,39.6,2.58,224,4.8
HSS 8 x 1,8.000,6.000,1.000,22.0,25.9,137,34.4,49.3,2.50,269,3.5
HSS 8.5 x 0.25,8.500,8.000,0.250,6.48,7.62,55.2,13.0,17.0,2.92,110,16.5
HSS 9 x 0.25,9.000,8.500,0.250,6.87,8.08,65.8,14.6,19.1,3.09,132,17.5
HSS 9 x 0.375,9.000,8.250,0.375,10.2,11.9,94.7,21.0,27.9,3.05,189,11.5
HSS 9 x 0.5,9.000,8.000,0.500,13.4,15.7,121,26.9,36.2,3.01,241,8.5
HSS 10 x 0.25,10.000,9.500,0.250,7.66,9.01,91.1,18.2,23.8,3.45,182,19.5
HSS 10 x 0.375,10.000,9.250,0.375,11.3,13.3,132,26.3,34.8,3.41,263,12.8
HSS 10 x 0.5,10.000,9.000,0.500,14.9,17.5,169,33.8,45.2,3.36,337,9.5
HSS 10 x 0.625,10.000,8.750,0.625,18.4,21.6,203,40.6,55.0,3.32,404,7.5
HSS 10 x 0.75,10.000,8.500,0.750,21.8,25.6,235,46.9,64.3,3.28,466,6.2
HSS 10 x 1,10.000,8.000,1.000,28.3,33.3,290,58.0,81.3,3.20,573,4.5
HSS 10.5 x 0.25,10.500,10.000,0.250,8.05,9.47,106,20.1,26.3,3.63,211,20.5
HSS 10.5 x 0.375,10.500,9.750,0.375,11.9,14.0,153,29.2,38.5,3.58,306,13.5
HSS 10.5 x 0.5,10.500,9.500,0.500,15.7,18.5,197,37.5,50.0,3.54,393,10.0
