Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,x,eo,xp,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,rts,ho,PA,PB,PC,PD,T,WGi
C,C15X50,C15X50,F,50,14.7,15,15,3.72,3  3/4 ,0.716, 11/16,  3/8 ,0.65,  5/8 ,1.44,1  7/16,0.799,0.583,0.49,5.72,17.7,404,68.5,53.8,5.24,11,8.14,3.77,0.865,2.65,492,17.4,13.7,11.6,5.86,14,34.1,5.49,0.937,1.17,14.4,39.7,43.4,33.7,37.4,12  1/8 ,2  1/4 
C,C15X40,C15X40,F,40,11.8,15,15,3.52,3  1/2 ,0.52,  1/2 ,  1/4 ,0.65,  5/8 ,1.44,1  7/16,0.778,0.767,0.392,5.42,24.4,348,57.5,46.5,5.43,9.17,6.84,3.34,0.883,1.45,410,16,11.7,9.2,4.64,14,28.6,5.71,0.927,1.15,14.4,39.2,42.7,33.5,37,12  1/8 ,2
C,C15X33.9,C15X33.9,F,33.9,10,15,15,3.4,3  3/8 ,0.4,  3/8 ,  3/16,0.65,  5/8 ,1.44,1  7/16,0.788,0.896,0.332,5.23,31.8,315,50.8,42,5.61,8.07,6.19,3.09,0.901,1.01,358,15.1,10.4,7.55,3.81,14,25.2,5.94,0.92,1.13,14.4,38.8,42.2,33.4,36.8,12  1/8 ,2
C,C12X30,C12X30,F,30,8.81,12,12,3.17,3  1/8 ,0.51,  1/2 ,  1/4 ,0.501,  1/2 ,1.13,1  1/8 ,0.674,0.618,0.367,6.33,20.1,162,33.8,27,4.29,5.12,4.32,2.05,0.762,0.861,151,11.7,6.01,4.91,2.45,7.66,16.8,4.54,0.919,1.01,11.5,32.3,35.5,27.2,30.3,9  3/4 ,1  3/4 
C,C12X25,C12X25,F,25,7.34,12,12,3.05,3,0.387,  3/8 ,  3/16,0.501,  1/2 ,1.13,1  1/8 ,0.674,0.746,0.306,6.09,26.5,144,29.4,24,4.43,4.45,3.82,1.87,0.779,0.538,130,11,5.29,4.02,1.99,7.67,14.6,4.72,0.909,1,11.5,32,35,27.1,30.1,9  3/4 ,1  3/4 
C,C12X20.7,C12X20.7,F,20.7,6.08,12,12,2.94,3,0.282,  5/16,  3/16,0.501,  1/2 ,1.13,1  1/8 ,0.698,0.87,0.253,5.87,36.3,129,25.6,21.5,4.61,3.86,3.47,1.72,0.797,0.369,112,10.3,4.6,3.13,1.58,7.66,12.7,4.93,0.899,0.983,11.5,31.7,34.6,26.9,29.9,9  3/4 ,1  3/4 
C,C10X30,C10X30,F,30,8.81,10,10,3.03,3,0.673, 11/16,  3/8 ,0.436,  7/16,1,1  1/16,0.649,0.368,0.441,6.95,12.6,103,26.7,20.7,3.43,3.93,3.78,1.65,0.668,1.22,79.5,9.51,4.12,3.61,1.81,4.91,13.3,3.63,0.921,0.924,9.56,28,31,23,26.1,8,1  3/4 
C,C10X25,C10X25,F,25,7.35,10,10,2.89,2  7/8 ,0.526,  1/2 ,  1/4 ,0.436,  7/16,1,1  1/16,0.617,0.494,0.367,6.63,16.1,91.1,23.1,18.2,3.52,3.34,3.18,1.47,0.675,0.687,68.3,8.94,3.64,3.05,1.5,4.93,11.5,3.76,0.912,0.911,9.56,27.6,30.5,22.9,25.8,8,1  3/4 
C,C10X20,C10X20,F,20,5.87,10,10,2.74,2  3/4 ,0.379,  3/8 ,  3/16,0.436,  7/16,1,1  1/16,0.606,0.636,0.294,6.28,22.3,78.9,19.4,15.8,3.67,2.8,2.7,1.31,0.69,0.368,56.9,8.25,3.1,2.39,1.18,4.92,9.66,3.93,0.9,0.894,9.56,27.2,29.9,22.7,25.5,8,1  1/2 
C,C10X15.3,C10X15.3,F,15.3,4.48,10,10,2.6,2  5/8 ,0.24,  1/4 ,  1/8 ,0.436,  7/16,1,1  1/16,0.634,0.796,0.224,5.96,35.3,67.3,15.9,13.5,3.88,2.27,2.34,1.15,0.711,0.209,45.5,7.48,2.55,1.67,0.841,4.92,7.92,4.19,0.884,0.868,9.56,26.8,29.4,22.6,25.2,8,1  1/2 
