Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,OD,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
PIPE,Pipe3-1/2SCH80,Pipe3-1/2XS,F,12.5,3.43,4,0.318,0.296,13.5,5.94,4.07,2.97,1.31,5.94,4.07,2.97,1.31,11.9,–
PIPE,Pipe3SCH80,Pipe3XS,F,10.3,2.83,3.5,0.3,0.28,12.5,3.7,2.91,2.11,1.14,3.7,2.91,2.11,1.14,7.4,–
PIPE,Pipe2-1/2SCH80,Pipe2-1/2XS,F,7.67,2.1,2.875,0.276,0.257,11.2,1.83,1.77,1.27,0.93,1.83,1.77,1.27,0.93,3.66,–
PIPE,Pipe2SCH80,Pipe2XS,F,5.03,1.4,2.375,0.218,0.204,11.7,0.827,0.964,0.696,0.771,0.827,0.964,0.696,0.771,1.65,–
PIPE,Pipe1-1/2SCH80,Pipe1-1/2XS,F,3.63,1,1.9,0.2,0.186,10.2,0.372,0.549,0.392,0.61,0.372,0.549,0.392,0.61,0.744,–
PIPE,Pipe1-1/4SCH80,Pipe1-1/4XS,F,3,0.837,1.66,0.191,0.178,9.33,0.231,0.393,0.278,0.528,0.231,0.393,0.278,0.528,0.462,–
PIPE,Pipe1SCH80,Pipe1XS,F,2.17,0.602,1.315,0.179,0.166,7.92,0.101,0.221,0.154,0.41,0.101,0.221,0.154,0.41,0.202,–
PIPE,Pipe3/4SCH80,Pipe3/4XS,F,1.48,0.407,1.05,0.154,0.143,7.34,0.043,0.119,0.0818,0.325,0.043,0.119,0.0818,0.325,0.086,–
PIPE,Pipe1/2SCH80,Pipe1/2XS,F,1.09,0.303,0.84,0.147,0.137,6.13,0.019,0.0686,0.0462,0.253,0.019,0.0686,0.0462,0.253,0.038,–
PIPE,Pipe12SCH120,Pipe12XXS,F,126,35.4,12.75,1,0.93,13.8,625,134,97.6,4.2,625,134,97.6,4.2,1250,–
PIPE,Pipe10SCH140,Pipe10XXS,F,104,28.8,10.75,1,0.93,11.6,354,90.9,65.6,3.51,354,90.9,65.6,3.51,709,–
PIPE,Pipe8XXS,Pipe8XXS,F,72.5,20,8.625,0.875,0.816,10.6,154,49.9,35.8,2.78,154,49.9,35.8,2.78,308,–
PIPE,Pipe6XXS,Pipe6XXS,F,53.2,14.7,6.625,0.864,0.805,8.23,63.5,27.4,19.2,2.08,63.5,27.4,19.2,2.08,127,–
PIPE,Pipe5XXS,Pipe5XXS,F,38.6,10.7,5.563,0.75,0.699,7.96,32.2,16.7,11.6,1.74,32.2,16.7,11.6,1.74,64.4,–
PIPE,Pipe4XXS,Pipe4XXS,F,27.6,7.66,4.5,0.674,0.628,7.17,14.7,9.5,6.53,1.39,14.7,9.5,6.53,1.39,29.4,–
PIPE,Pipe3XXS,Pipe3XXS,F,18.6,5.17,3.5,0.6,0.559,6.26,5.79,4.89,3.31,1.06,5.79,4.89,3.31,1.06,11.6,–
PIPE,Pipe2-1/2XXS,Pipe2-1/2XXS,F,13.7,3.83,2.875,0.552,0.514,5.59,2.78,2.91,1.94,0.854,2.78,2.91,1.94,0.854,5.56,–
PIPE,Pipe2XXS,Pipe2XXS,F,9.04,2.51,2.375,0.436,0.406,5.85,1.27,1.6,1.07,0.711,1.27,1.6,1.07,0.711,2.54,–
