Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
MT,MT5X4,MT5X4,F,4,1.19,4.98,5,2.69,2  3/4 ,0.141,  1/8 ,  1/16,0.182,  3/16,0.563,  9/16,1.52,0.809,7.39,35.3,3.08,1.61,0.894,1.62,0.296,0.354,0.22,0.502,0.0112,0.00989,2.22,0.583,–,–,–,–,–
MT,MT5X3.75,MT5X3.75,F,3.75,1.11,5,5,2.69,2  3/4 ,0.13,  1/8 ,  1/16,0.173,  3/16,0.438,  7/16,1.51,0.759,7.77,38.4,2.91,1.51,0.836,1.63,0.281,0.334,0.209,0.505,0.00932,0.00792,2.22,0.588,–,–,–,–,–
MT,MT4X3.25,MT4X3.25,F,3.25,0.959,4,4,2.28,2  1/4 ,0.135,  1/8 ,  1/16,0.189,  3/16,0.563,  9/16,1.18,0.472,6.03,29.6,1.57,1.01,0.558,1.29,0.188,0.264,0.165,0.444,0.00917,0.00463,1.74,0.612,–,–,–,–,–
MT,MT4X3.1,MT4X3.1,F,3.1,0.911,4,4,2.28,2  1/4 ,0.129,  1/8 ,  1/16,0.177,  3/16,0.438,  7/16,1.18,0.497,6.44,31,1.5,0.967,0.533,1.29,0.176,0.247,0.154,0.441,0.00778,0.00403,1.75,0.608,–,–,–,–,–
MT,MT3X2.2,MT3X2.2,F,2.2,0.647,3,3,1.84,1  7/8 ,0.114,  1/8 ,  1/16,0.171,  3/16,0.375,  3/8 ,0.841,0.19,5.38,26.3,0.579,0.483,0.268,0.949,0.0897,0.155,0.0973,0.374,0.00494,0.00124,1.27,0.646,–,–,–,–,–
MT,MT3X1.85,MT3X1.85,F,1.85,0.545,2.96,3,2,2,0.098,  1/8 ,  1/16,0.129,  1/8 ,0.313,  5/16,0.827,0.174,7.75,30.2,0.483,0.409,0.226,0.945,0.0863,0.136,0.0863,0.4,0.00265,0.000754,1.28,0.644,–,–,–,–,–
MT,MT2.5X9.45,MT2.5X9.45,T,9.45,2.78,2.5,2  1/2 ,5,5,0.316,  5/16,  3/16,0.416,  7/16,0.813, 13/16,0.512,0.276,6.01,7.91,1.05,1.03,0.528,0.617,4.35,2.66,1.74,1.26,0.156,0.0732,1.43,0.955,–,–,–,–,2  3/4 
MT,MT2X3,MT2X3,F,3,0.875,1.9,1  7/8 ,3.8,3  3/4 ,0.13,  1/8 ,  1/16,0.16,  3/16,0.5,  1/2 ,0.341,0.112,11.9,14.6,0.208,0.241,0.133,0.493,0.732,0.588,0.385,0.926,0.00919,0.00193,1.08,0.942,–,–,–,–,–
ST,ST12X60.5,ST12X60.5,F,60.5,17.8,12.3,12  1/4 ,8.05,8,0.8, 13/16,  7/16,1.09,1  1/16,2,2,3.63,1.26,3.69,15.4,259,54.5,30.1,3.82,41.5,18.1,10.3,1.53,6.38,27.5,5.14,0.64,–,–,–,–,4
ST,ST12X53,ST12X53,F,53,15.6,12.3,12  1/4 ,7.87,7  7/8 ,0.62,  5/8 ,  5/16,1.09,1  1/16,2,2,3.28,1.02,3.61,19.8,216,43.3,24.1,3.72,38.4,16.7,9.76,1.57,5.05,15,4.88,0.686,–,–,–,–,4
ST,ST12X50,ST12X50,F,50,14.7,12,12,7.25,7  1/4 ,0.745,  3/4 ,  3/8 ,0.87,  7/8 ,1.75,1  3/4 ,3.84,2.16,4.17,16.1,215,47.5,26.3,3.83,23.7,12,6.55,1.27,3.76,19.5,5.28,0.584,–,–,–,–,4
ST,ST12X45,ST12X45,F,45,13.2,12,12,7.13,7  1/8 ,0.625,  5/8 ,  5/16,0.87,  7/8 ,1.75,1  3/4 ,3.6,1.42,4.1,19.2,190,41.1,22.6,3.79,22.3,11.2,6.27,1.3,3.01,12.1,5.11,0.615,–,–,–,–,4
ST,ST12X40,ST12X40,F,40,11.7,12,12,7,7,0.5,  1/2 ,  1/4 ,0.87,  7/8 ,1.75,1  3/4 ,3.3,0.909,4.02,24,162,33.6,18.6,3.72,21,10.4,6,1.34,2.44,6.94,4.88,0.656,–,–,–,–,4
ST,ST10X48,ST10X48,F,48,14.1,10.2,10  1/8 ,7.2,7  1/4 ,0.8, 13/16,  7/16,0.92, 15/16,1.75,1  3/4 ,3.13,1.35,3.91,12.7,143,36.9,20.3,3.18,25,12.5,6.93,1.33,4.16,15,4.36,0.625,–,–,–,–,4
ST,ST10X43,ST10X43,F,43,12.7,10.2,10  1/8 ,7.06,7,0.66, 11/16,  3/8 ,0.92, 15/16,1.75,1  3/4 ,2.91,0.972,3.84,15.4,124,31.1,17.2,3.13,23.3,11.6,6.59,1.36,3.3,9.17,4.21,0.659,–,–,–,–,4
ST,ST10X37.5,ST10X37.5,F,37.5,11,10,10,6.39,6  3/8 ,0.635,  5/8 ,  5/16,0.795, 13/16,1.63,1  5/8 ,3.07,1.34,4.02,15.7,109,28.6,15.8,3.15,14.8,8.36,4.62,1.16,2.28,7.21,4.29,0.613,–,–,–,–,3  1/2 
ST,ST10X33,ST10X33,F,33,9.7,10,10,6.26,6  1/4 ,0.505,  1/2 ,  1/4 ,0.795, 13/16,1.63,1  5/8 ,2.81,0.841,3.94,19.8,92.9,23.4,12.9,3.1,13.7,7.7,4.39,1.19,1.78,4.02,4.1,0.654,–,–,–,–,3  1/2 
ST,ST9X35,ST9X35,F,35,10.3,9,9,6.25,6  1/4 ,0.711, 11/16,  3/8 ,0.691, 11/16,1.5,1  1/2 ,2.94,1.78,4.52,12.7,84.5,25.1,14,2.87,12,7.17,3.84,1.08,2.02,7.03,4.02,0.582,–,–,–,–,3  1/2 
ST,ST9X27.35,ST9X27.35,F,27.35,8.02,9,9,6,6,0.461,  7/16,  1/4 ,0.691, 11/16,1.5,1  1/2 ,2.51,0.737,4.34,19.5,62.3,17.3,9.6,2.79,10.4,6.06,3.45,1.14,1.16,2.26,3.71,0.66,–,–,–,–,3  1/2 
ST,ST7.5X25,ST7.5X25,F,25,7.34,7.5,7  1/2 ,5.64,5  5/8 ,0.55,  9/16,  5/16,0.622,  5/8 ,1.38,1  3/8 ,2.25,0.826,4.53,13.6,40.5,14,7.72,2.35,7.79,4.99,2.76,1.03,1.05,2.02,3.22,0.635,–,–,–,–,3  1/2 
ST,ST7.5X21.45,ST7.5X21.45,F,21.45,6.3,7.5,7  1/2 ,5.5,5  1/2 ,0.411,  7/16,  1/4 ,0.622,  5/8 ,1.38,1  3/8 ,2.01,0.605,4.42,18.2,32.9,10.8,5.99,2.29,7.13,4.54,2.59,1.06,0.765,0.995,3.04,0.689,–,–,–,–,3  1/2 
ST,ST6X25,ST6X25,F,25,7.33,6,6,5.48,5  1/2 ,0.687, 11/16,  3/8 ,0.659, 11/16,1.44,1  7/16,1.84,0.758,4.17,8.73,25.1,11,6.04,1.85,7.79,5.16,2.84,1.03,1.36,1.97,2.6,0.662,–,–,–,–,3
ST,ST6X20.4,ST6X20.4,F,20.4,5.96,6,6,5.25,5  1/4 ,0.462,  7/16,  1/4 ,0.659, 11/16,1.44,1  7/16,1.58,0.577,3.98,13,18.9,7.71,4.27,1.78,6.74,4.43,2.57,1.06,0.842,0.787,2.42,0.732,–,–,–,–,3
ST,ST6X17.5,ST6X17.5,F,17.5,5.12,6,6,5.08,5  1/8 ,0.428,  7/16,  1/4 ,0.544,  9/16,1.19,1  3/16,1.65,0.543,4.67,14,17.2,7.12,3.95,1.83,4.92,3.4,1.94,0.98,0.524,0.556,2.49,0.695,–,–,–,–,3
ST,ST6X15.9,ST6X15.9,F,15.9,4.65,6,6,5,5,0.35,  3/8 ,  3/16,0.544,  9/16,1.19,1  3/16,1.51,0.48,4.6,17.1,14.8,5.94,3.3,1.78,4.66,3.22,1.87,1,0.438,0.364,2.39,0.731,–,–,–,–,3
ST,ST5X17.5,ST5X17.5,F,17.5,5.14,5,5,4.94,5,0.594,  5/8 ,  5/16,0.491,  1/2 ,1.13,1  1/8 ,1.56,0.673,5.03,8.42,12.5,6.58,3.62,1.56,4.15,3.1,1.68,0.899,0.633,0.725,2.23,0.653,–,–,–,–,2  3/4 
